CMColor,getshell_grapestalk
CMColor,ID
CMColor,translateSingleCMCodeToANSIOffSet,String
CMColor,translateCMCodeToFGNumber,String
CMColor,translateCMCodeToANSI,String
CMColor,translateANSItoCMCode,String
CMColor,mixHTMLCodes,String,String
CMColor,mixColorCodes,String,String
CMColor,fixSourceFightColor,CMMsg
CMColor,standardHTMLlookups
CMColor,clearLookups
CMColor,standardColorLookups
CMColor,crosshandLoculus
CMColor,laterigradeRecriminate
FalconoidUnbrimming,getshell_grapestalk
CMColor,getinduced_bulleted
CMColor,ID
CMColor,translateSingleCMCodeToANSIOffSet,String
CMColor,translateCMCodeToFGNumber,String
CMColor,translateCMCodeToANSI,String
CMColor,translateANSItoCMCode,String
CMColor,mixHTMLCodes,String,String
CMColor,mixColorCodes,String,String
CMColor,fixSourceFightColor,CMMsg
CMColor,standardHTMLlookups
CMColor,clearLookups
CMColor,standardColorLookups
CMColor,dismarkGoes
CMColor,dismarkGoes
ForcedlyRecompenser,getinduced_bulleted
WaterFowl,handleGetRequest,IHTTPSession
WaterFowl,handleOptionsRequest,IHTTPSession
WaterFowl,handleUnallowedRequest,IHTTPSession
WaterFowl,handlePostRequest,IHTTPSession
WaterFowl,handleTaintRequest,IHTTPSession
WaterFowl,writeErrorResponse,IHTTPSession,String
WaterFowl,setResponseOptions,IHTTPSession
WaterFowl,serve,IHTTPSession
WaterFowl,getData
WaterFowl,ID
WaterFowl,name
WaterFowl,shortestMale
WaterFowl,shortestFemale
WaterFowl,heightVariance
WaterFowl,lightestWeight
WaterFowl,weightVariance
WaterFowl,forbiddenWornBits
WaterFowl,racialCategory
WaterFowl,racialAbilityNames
WaterFowl,racialAbilityLevels
WaterFowl,racialAbilityProficiencies
WaterFowl,racialAbilityQuals
WaterFowl,bodyMask
WaterFowl,getAgingChart
WaterFowl,availabilityCode
WaterFowl,affectCharStats,MOB,CharStats
WaterFowl,affectPhyStats,Physical,PhyStats
WaterFowl,arriveStr
WaterFowl,leaveStr
WaterFowl,myNaturalWeapon
WaterFowl,healthText,MOB,MOB
WaterFowl,myResources
